Filesystem      Size  Used Avail Use% Mounted on
udev            1.8G     0  1.8G   0% /dev
tmpfs           370M  5.6M  364M   2% /run
/dev/sda1       9.7G  6.7G  3.0G  70% /
tmpfs           1.9G     0  1.9G   0% /dev/shm
tmpfs           5.0M     0  5.0M   0% /run/lock
tmpfs           1.9G     0  1.9G   0% /sys/fs/cgroup
tmpfs           370M     0  370M   0% /run/user/113
overlay         9.7G  6.7G  3.0G  70% /var/lib/docker/overlay2/a9e0fb132389d440b5f6fa0b364bb7500e83b759882ee61b7c047fe32a7da0ee/merged
overlay         9.7G  6.7G  3.0G  70% /var/lib/docker/overlay2/6dd4a9a6904b3d394485122768096e4ce3b67d7deae6ba427eecd9b840b9baee/merged
overlay         9.7G  6.7G  3.0G  70% /var/lib/docker/overlay2/1f65b63188859283a98aa1c1d7241702dd79e9dbbad65b5bffd1a4078102ef9b/merged
overlay         9.7G  6.7G  3.0G  70% /var/lib/docker/overlay2/0f9dad7e96e75deae48ccd64f3738897d4cbcdec6d2cd488ed4dec29dc5ee463/merged
overlay         9.7G  6.7G  3.0G  70% /var/lib/docker/overlay2/2cd5bb6e7c0fd89eefab5cef2902356415077697bafc5eb4a2ec3ed503eea6f4/merged
tmpfs           370M     0  370M   0% /run/user/1001
